company,car_model,sale_date,price
Toyota,Highlander,2023-06-12,35000
Honda,HR-V,2024-03-18,24000
Ford,Maverick,2025-02-07,27000
Tesla,Model S,2023-09-30,82000
Chevrolet,Trailblazer,2024-07-10,26000
Nissan,Rogue,2023-10-01,25000
Hyundai,Sonata,2025-04-14,24000
Kia,Seltos,2023-11-23,22000
BMW,5 Series,2024-10-03,55000
Audi,A6,2025-03-12,52000
Toyota,RAV4,2024-02-28,30000
Honda,Pilot,2023-08-08,32000
Ford,Bronco,2023-12-19,39000
Tesla,Model X,2024-06-21,90000
Chevrolet,Blazer,2025-01-15,34000
Nissan,Versa,2023-05-25,19000
Hyundai,Kona,2024-12-04,27000
Kia,Carnival,2025-06-01,31000
BMW,X3,2023-07-14,53000
Audi,Q5,2024-11-29,50000
